topic_id,term_rank,term,weight
0,1,covid,0.09381984738745641
0,2,19,0.08568101015033248
0,3,cdc,0.07744824717681002
0,4,states,0.06566380765397446
0,5,united,0.06294647041344954
0,6,reports,0.05037605323679394
0,7,people,0.044611282015971525
0,8,vaccine,0.041840699231433756
0,9,president,0.03758938107946634
0,10,health,0.03618072510130165
1,1,facility,0.06767986820192752
1,2,backed,0.05324062802366794
1,3,securities,0.0499171734367555
1,4,talf,0.04186308445032814
1,5,reserve,0.040364350423031006
1,6,market,0.03975720598796736
1,7,term,0.03860128667015897
1,8,asset,0.0372851779661052
1,9,federal,0.037210415703824516
1,10,eligible,0.03597055756509897
2,1,financial,0.04014740295526726
2,2,federal,0.039158744287311684
2,3,capital,0.038581904302518455
2,4,reserve,0.034235853542323044
2,5,board,0.028979013991307378
2,6,firms,0.02658471395495036
2,7,institutions,0.02602577809949768
2,8,banks,0.02575528358880522
2,9,banking,0.025078679691587547
2,10,stress,0.02347731362758019
3,1,rate,0.15886571775128114
3,2,percent,0.12467825161191265
3,3,votes,0.11437558387666569
3,4,points,0.11360030156957762
3,5,target,0.11116872657596669
3,6,basis,0.1109457875967544
3,7,fomc,0.10414589550071544
3,8,reduce,0.08738091151962366
3,9,funds,0.08178997164351222
3,10,federal,0.07983139939750554
4,1,commission,0.22352631684775848
4,2,developments,0.15971844686889083
4,3,report,0.15810471045894206
4,4,recent,0.15800606530416558
4,5,congressional,0.15345051701750784
4,6,oversight,0.1497066074165343
4,7,releases,0.1488644488765454
4,8,including,0.13141418469343083
4,9,treasury,0.10444065751832915
4,10,reserve,0.07453500404272874
5,1,tarp,0.13445701953353328
5,2,troubled,0.08677868567490395
5,3,relief,0.08311223497977467
5,4,asset,0.0706582323348656
5,5,program,0.06376241423691836
5,6,general,0.06314098527919637
5,7,treasury,0.0595471977594044
5,8,report,0.05842662837043605
5,9,gmac,0.056826886751276735
5,10,congress,0.048053156487289646
6,1,ppp,0.11016910878747611
6,2,small,0.07493623392385174
6,3,loans,0.07470555756706536
6,4,paycheck,0.06748983573719013
6,5,program,0.06349673751093121
6,6,protection,0.05892436987586304
6,7,businesses,0.054052882611749904
6,8,sba,0.045831847235379
6,9,loan,0.04152713150056496
6,10,main,0.04108686125330875
7,1,mae,0.13783734025649114
7,2,fannie,0.13181220151903988
7,3,freddie,0.11933738356179056
7,4,mac,0.11933738356179056
7,5,billion,0.09703506397951174
7,6,loss,0.09116177234901653
7,7,net,0.08852062261885205
7,8,2009,0.06552509773856044
7,9,quarter,0.061639675378021404
7,10,fhfa,0.049787944734216986
8,1,purchases,0.20941136696448195
8,2,stock,0.19910020665419256
8,3,total,0.19138574169054384
8,4,preferred,0.18567995639054816
8,5,purchase,0.18399390621140904
8,6,banks,0.16767849018145778
8,7,capital,0.16293117734219015
8,8,department,0.15626787985573629
8,9,treasury,0.13728405399836965
8,10,program,0.13475191883348747
9,1,fdic,0.16056126061241432
9,2,deposit,0.0775740150358732
9,3,assets,0.07677433474258936
9,4,insured,0.0750133124317398
9,5,quarter,0.07463161508676291
9,6,2009,0.07253575047221454
9,7,indymac,0.07042221007862075
9,8,guarantee,0.07029342539876271
9,9,insurance,0.06876903546842546
9,10,institutions,0.06676679658784661
10,1,purchases,0.22048181162432304
10,2,stock,0.21988694697959477
10,3,preferred,0.20050856401895997
10,4,million,0.19830199289792463
10,5,total,0.18600301770549732
10,6,purchase,0.17610969763558873
10,7,treasury,0.15751319303154956
10,8,capital,0.15080832188518195
10,9,banks,0.1422688777060434
10,10,program,0.11905638283299602
11,1,trading,0.17190594906968476
11,2,declines,0.1303466450922561
11,3,index,0.1303466450922561
11,4,500,0.12125786492284067
11,5,halt,0.10857174161532307
11,6,resume,0.10857174161532307
11,7,breaker,0.10857174161532307
11,8,triggering,0.10857174161532307
11,9,circuit,0.10857174161532307
11,10,minutes,0.10427731607380487
12,1,testimony,0.1724442041872961
12,2,chair,0.1551997837685665
12,3,powell,0.1551997837685665
12,4,committee,0.13605937533115686
12,5,coronavirus,0.13055813219438314
12,6,representatives,0.10833106901983394
12,7,act,0.10729087542327176
12,8,house,0.10576229352466851
12,9,cares,0.10194021206637184
12,10,affairs,0.09883426935566672
13,1,america,0.11461287707641468
13,2,bank,0.10817509985418085
13,3,board,0.10610354173399568
13,4,applications,0.09901776754953771
13,5,acquire,0.09901776754953771
13,6,companies,0.09182288735179364
13,7,corporation,0.0887438160543536
13,8,announces,0.08857559442072334
13,9,approves,0.08595965780731102
13,10,merrill,0.07987238326869008
